setname,solvername,problemname,status,solutionstatus,objvalue,runtime
C13_ABI_10,GREEDY,graphmapping_682276e0,1,1,3,0.8457013999577612
C13_ABI_15,GREEDY,graphmapping_9b83763d,1,1,3,0.8166063000098802
C13_ABI_20,GREEDY,graphmapping_2af58660,1,1,3,0.8200677999993786
C13_ABI_5,GREEDY,graphmapping_a246f113,1,1,3,0.9377553999656811
C13_ABI_8,GREEDY,graphmapping_e74c7567,1,1,3,0.8921600999892689
C1_ABI_10,GREEDY,graphmapping_3006ca8e,1,1,3,0.8199737999821082
C1_ABI_15,GREEDY,graphmapping_2e318692,1,1,3,0.8156068000243977
C1_ABI_20,GREEDY,graphmapping_355f2547,1,1,3,0.8056544000282884
C1_ABI_5,GREEDY,graphmapping_a0546cb7,1,1,3,0.8145260000019334
C1_ABI_8,GREEDY,graphmapping_1b65eb80,1,1,3,0.8021471999818459
C3_ABI_10,GREEDY,graphmapping_457c8192,1,1,1,0.715249800006859
C3_ABI_15,GREEDY,graphmapping_3a6cbbe2,1,1,1,0.8819589000195265
C3_ABI_20,GREEDY,graphmapping_e322dfb2,1,1,1,0.8495248999679461
C3_ABI_5,GREEDY,graphmapping_883fb60e,1,1,1,0.7225790999946184
C3_ABI_8,GREEDY,graphmapping_e0addbba,1,1,1,0.7487168000079691
